inventory_id,donation_id,blood_group,units_available,quality,status,date_received,expiration_date,temperature,volume,recipient_id
1,1,A+,10,Good,stored,2024-01-01,2024-06-01,4.0,500,
2,2,O-,8,Good,tested,2024-01-05,2024-06-05,4.0,450,
3,3,B+,15,Good,stored,2024-01-10,2024-06-10,4.0,500,
4,4,AB-,5,Contaminated,discarded,2024-01-15,2024-06-15,4.0,400,
5,5,A-,7,Good,distributed,2024-01-20,2024-06-20,4.0,350,3.0
6,6,B-,9,Good,tested,2024-01-25,2024-06-25,4.0,500,
7,7,O+,12,Good,stored,2024-01-25,2024-06-25,4.0,500,
8,8,AB+,6,Good,stored,2024-01-25,2024-06-25,4.0,450,
9,9,A+,11,Good,stored,2024-02-01,2024-07-01,4.0,550,
10,10,O-,5,Good,distributed,2024-02-01,2024-07-01,4.0,300,4.0
11,11,B+,14,Good,stored,2024-02-05,2024-07-05,4.0,520,
12,12,AB-,4,Contaminated,discarded,2024-02-05,2024-07-05,4.0,400,
13,13,A-,6,Good,tested,2024-02-05,2024-07-05,4.0,350,
14,14,B-,10,Good,stored,2024-02-05,2024-07-05,4.0,500,
15,15,O+,13,Good,stored,2024-02-05,2024-07-05,4.0,530,
16,16,AB+,7,Good,tested,2024-02-05,2024-07-05,4.0,470,
17,44,A+,10,Good,stored,2023-01-01,2023-07-01,4.0,500,
18,45,O-,8,Good,stored,2023-01-10,2023-07-10,4.0,500,
19,46,B+,12,Good,stored,2023-02-01,2023-08-01,4.0,500,
20,47,AB-,6,Good,stored,2023-02-15,2023-08-15,4.0,450,
21,48,A-,9,Good,stored,2023-04-01,2023-10-01,4.0,520,
22,49,B-,7,Good,stored,2023-05-01,2023-11-01,4.0,400,
23,50,O+,11,Good,stored,2023-06-01,2023-12-01,4.0,530,
24,51,AB+,5,Good,stored,2023-07-01,2024-01-01,4.0,450,
25,52,A+,13,Good,stored,2023-08-01,2024-02-01,4.0,430,
26,53,B+,14,Good,stored,2023-09-01,2024-03-01,4.0,510,
27,54,O-,10,Good,stored,2023-10-01,2024-04-01,4.0,500,
28,55,A-,8,Good,stored,2023-11-01,2024-05-01,4.0,520,
